Date,Instance
1/1/2022,1
1/2/2022,1
1/3/2022,1
1/4/2022,2
1/5/2022,3
1/6/2022,3
1/7/2022,3
1/8/2022,2
1/9/2022,2
1/10/2022,1
1/11/2022,2
1/12/2022,3
1/13/2022,3
1/14/2022,6
1/15/2022,6
1/16/2022,6
1/17/2022,7
1/18/2022,8
1/19/2022,6
1/20/2022,5
1/21/2022,5
1/22/2022,4
1/23/2022,3
1/24/2022,2
1/25/2022,1
1/26/2022,1
1/27/2022,1
1/28/2022,1
1/29/2022,1
1/30/2022,4
1/31/2022,5
2/1/2022,6
2/2/2022,3
2/3/2022,3
2/4/2022,3
2/5/2022,4
2/6/2022,4
2/7/2022,4
2/8/2022,4
2/9/2022,3
2/10/2022,3
2/11/2022,3
2/12/2022,2
2/13/2022,2
2/14/2022,2
2/15/2022,1
2/16/2022,1
2/17/2022,1
2/18/2022,5
2/19/2022,5
2/20/2022,5
2/21/2022,5
2/22/2022,5
2/23/2022,5
2/24/2022,5
2/25/2022,5
2/26/2022,5
2/27/2022,9
2/28/2022,9
3/1/2022,9
3/2/2022,8
3/3/2022,8
3/4/2022,8
3/5/2022,7
3/6/2022,7
3/7/2022,7
3/8/2022,6
3/9/2022,6
3/10/2022,12
3/11/2022,23
3/12/2022,23
3/13/2022,23
3/14/2022,21
3/15/2022,22
3/16/2022,22
3/17/2022,22
3/18/2022,34
3/19/2022,56
3/20/2022,56
3/21/2022,56
3/22/2022,56
3/23/2022,23
3/24/2022,23
3/25/2022,23
3/26/2022,23
3/27/2022,23
3/28/2022,23
3/29/2022,23
3/30/2022,23
3/31/2022,23
4/1/2022,23
4/2/2022,23
4/3/2022,20
4/4/2022,21
4/5/2022,21
4/6/2022,21
4/7/2022,21
4/8/2022,17
4/9/2022,17
4/10/2022,17
4/11/2022,17
4/12/2022,1
4/13/2022,1
4/14/2022,1
4/15/2022,1
4/16/2022,1
4/17/2022,1
4/18/2022,1
4/19/2022,1
4/20/2022,1
4/21/2022,1
4/22/2022,12
4/23/2022,12
4/24/2022,11
4/25/2022,10
4/26/2022,13
4/27/2022,12
4/28/2022,11
4/29/2022,11
4/30/2022,1
5/1/2022,1
5/2/2022,1
5/3/2022,1
5/4/2022,1
5/5/2022,1
5/6/2022,1
5/7/2022,12
5/8/2022,1
5/9/2022,1
5/10/2022,1
5/11/2022,1
5/12/2022,4
5/13/2022,4
5/14/2022,4
5/15/2022,4
5/16/2022,4
5/17/2022,4
5/18/2022,4
5/19/2022,4
5/20/2022,7
5/21/2022,7
5/22/2022,1
5/23/2022,1
5/24/2022,1
5/25/2022,1
5/26/2022,1
5/27/2022,1
5/28/2022,1
5/29/2022,1
5/30/2022,1
5/31/2022,1
6/1/2022,1
6/2/2022,2
6/3/2022,2
6/4/2022,3
6/5/2022,19
6/6/2022,18
6/7/2022,18
6/8/2022,18
6/9/2022,18
6/10/2022,18
6/11/2022,17
6/12/2022,17
6/13/2022,16
6/14/2022,15
6/15/2022,17
6/16/2022,18
6/17/2022,34
6/18/2022,34
6/19/2022,34
6/20/2022,34
6/21/2022,34
6/22/2022,33
6/23/2022,33
6/24/2022,33
6/25/2022,33
6/26/2022,33
6/27/2022,33
6/28/2022,33
6/29/2022,32
6/30/2022,32
7/1/2022,32
7/2/2022,32
7/3/2022,32
7/4/2022,32
7/5/2022,32
7/6/2022,31
7/7/2022,31
7/8/2022,31
7/9/2022,31
7/10/2022,31
7/11/2022,31
7/12/2022,31
7/13/2022,30
7/14/2022,29
7/15/2022,29
7/16/2022,29
7/17/2022,29
7/18/2022,28
7/19/2022,28
7/20/2022,28
7/21/2022,26
7/22/2022,26
7/23/2022,26
7/24/2022,26
7/25/2022,26
7/26/2022,26
7/27/2022,26
7/28/2022,26
7/29/2022,25
7/30/2022,25
7/31/2022,25
8/1/2022,25
8/2/2022,25
8/3/2022,25
8/4/2022,24
8/5/2022,24
8/6/2022,24
8/7/2022,24
8/8/2022,24
8/9/2022,1
8/10/2022,1
8/11/2022,1
8/12/2022,11
8/13/2022,1
8/14/2022,1
8/15/2022,1
8/16/2022,1
8/17/2022,12
8/18/2022,1
8/19/2022,2
8/20/2022,3
8/21/2022,4
8/22/2022,5
8/23/2022,4
8/24/2022,3
8/25/2022,4
8/26/2022,1
8/27/2022,4
8/28/2022,6
8/29/2022,3
8/30/2022,56
8/31/2022,57
9/1/2022,59
9/2/2022,23
9/3/2022,23
9/4/2022,21
9/5/2022,11
9/6/2022,11
9/7/2022,11
9/8/2022,11
9/9/2022,11
9/10/2022,11
9/11/2022,10
9/12/2022,67
9/13/2022,67
9/14/2022,67
9/15/2022,56
9/16/2022,56
